frame,theta_cyl_deg,needle_x_mm,needle_y_mm,needle_z_mm,yarn_owner_deg,yarn_state,yarn_x_mm,yarn_y_mm,yarn_z_mm,angular_dist_to_owner_deg,capture_margin_mm,in_capture_window
0,0.00,56.150,0.000,264.000,0.0,captured,56.150,0.000,264.000,0.00,0.000,1
1,10.00,55.297,9.750,262.000,0.0,captured,55.297,9.750,262.000,10.00,0.000,1
2,20.00,52.764,19.204,258.000,0.0,captured,52.764,19.204,258.000,20.00,0.000,1
3,30.00,48.627,28.075,256.000,0.0,captured,48.627,28.075,256.000,30.00,0.000,1
4,40.00,43.013,36.093,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,40.00,15.000,0
5,50.00,36.093,43.013,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,50.00,15.000,0
6,60.00,28.075,48.627,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,60.00,15.000,0
7,70.00,19.204,52.764,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,70.00,15.000,0
8,80.00,9.750,55.297,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,80.00,15.000,0
9,90.00,0.000,56.150,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,90.00,15.000,0
10,100.00,-9.750,55.297,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,100.00,15.000,0
11,110.00,-19.204,52.764,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,110.00,15.000,0
12,120.00,-28.075,48.627,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,120.00,15.000,0
13,130.00,-36.093,43.013,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,130.00,15.000,0
14,140.00,-43.013,36.093,256.000,0.0,idle_at_feeder,100.000,0.000,271.000,140.00,15.000,0
15,150.00,-48.627,28.075,256.000,180.0,captured,-48.627,28.075,256.000,30.00,0.000,1
16,160.00,-52.764,19.204,258.000,180.0,captured,-52.764,19.204,258.000,20.00,0.000,1
17,170.00,-55.297,9.750,262.000,180.0,captured,-55.297,9.750,262.000,10.00,0.000,1
18,180.00,-56.150,0.000,264.000,180.0,captured,-56.150,0.000,264.000,0.00,0.000,1
19,190.00,-55.297,-9.750,262.000,180.0,captured,-55.297,-9.750,262.000,10.00,0.000,1
20,200.00,-52.764,-19.204,258.000,180.0,captured,-52.764,-19.204,258.000,20.00,0.000,1
21,210.00,-48.627,-28.075,256.000,180.0,captured,-48.627,-28.075,256.000,30.00,0.000,1
22,220.00,-43.013,-36.093,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,40.00,15.000,0
23,230.00,-36.093,-43.013,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,50.00,15.000,0
24,240.00,-28.075,-48.627,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,60.00,15.000,0
25,250.00,-19.204,-52.764,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,70.00,15.000,0
26,260.00,-9.750,-55.297,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,80.00,15.000,0
27,270.00,-0.000,-56.150,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,90.00,15.000,0
28,280.00,9.750,-55.297,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,100.00,15.000,0
29,290.00,19.204,-52.764,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,110.00,15.000,0
30,300.00,28.075,-48.627,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,120.00,15.000,0
31,310.00,36.093,-43.013,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,130.00,15.000,0
32,320.00,43.013,-36.093,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,140.00,15.000,0
33,330.00,48.627,-28.075,256.000,0.0,captured,48.627,-28.075,256.000,30.00,0.000,1
34,340.00,52.764,-19.204,258.000,0.0,captured,52.764,-19.204,258.000,20.00,0.000,1
35,350.00,55.297,-9.750,262.000,0.0,captured,55.297,-9.750,262.000,10.00,0.000,1
